Start Time,End Time,Start Freq,End Freq,Duration
16.128,16.138666666666666,4.875,5.15625,0.010666666666665492
25.904,25.968,5.34375,5.25,0.06400000000000006
29.237333333333332,29.408,5.0625,7.125,0.1706666666666692
29.269333333333332,29.349333333333334,3.0,3.46875,0.08000000000000185
29.477333333333334,29.514666666666667,5.25,5.25,0.037333333333332774
30.346666666666668,30.528,5.53125,4.59375,0.18133333333333113
33.33866666666667,33.41866666666667,5.4375,5.90625,0.0799999999999983
35.40266666666667,35.434666666666665,5.8125,6.28125,0.031999999999996476
38.50666666666667,38.629333333333335,5.0625,5.90625,0.12266666666666737
38.8,38.83733333333333,5.71875,6.28125,0.03733333333333633
44.309333333333335,44.61866666666667,5.0625,6.75,0.3093333333333348
44.848,44.96,3.84375,3.9375,0.11200000000000188
45.248,45.562666666666665,4.78125,4.78125,0.31466666666666754
46.12266666666667,46.19733333333333,5.4375,5.4375,0.07466666666666555
46.768,46.928,4.96875,4.21875,0.1599999999999966
49.61066666666667,49.984,4.59375,4.40625,0.37333333333333485
50.010666666666665,50.368,4.21875,4.6875,0.3573333333333366
50.51733333333333,50.64,4.96875,4.875,0.12266666666666737
55.434666666666665,55.984,4.96875,5.15625,0.5493333333333368
61.70133333333333,61.888,3.84375,4.6875,0.18666666666666742
62.010666666666665,62.090666666666664,5.25,5.4375,0.0799999999999983
62.352,62.373333333333335,4.875,4.875,0.02133333333333809
67.22666666666666,67.312,4.5,5.4375,0.08533333333333815
67.57866666666666,67.78133333333334,3.75,6.5625,0.20266666666667277
71.344,71.44,4.21875,4.21875,0.09600000000000364
71.632,71.648,3.75,3.75,0.015999999999991132
75.76533333333333,75.984,3.375,4.125,0.2186666666666639
76.01066666666667,76.21866666666666,4.21875,3.9375,0.2079999999999984
78.50666666666666,78.56533333333333,4.03125,5.25,0.05866666666666731
78.88,78.93333333333334,5.15625,5.15625,0.05333333333334167
80.33066666666667,80.40533333333333,3.75,3.375,0.07466666666665844
80.51733333333334,80.85333333333334,4.125,4.03125,0.3359999999999985
94.592,94.60266666666666,3.0,4.875,0.010666666666665492
111.00266666666667,111.33333333333333,5.15625,5.4375,0.33066666666665867
114.90133333333333,114.928,6.5625,6.65625,0.026666666666670835
121.184,121.44,5.25,6.65625,0.2560000000000002
121.59466666666667,121.74933333333334,3.9375,5.4375,0.15466666666667095
123.088,123.19466666666666,3.0,4.125,0.10666666666666913
127.296,127.328,5.53125,6.09375,0.031999999999996476
133.54133333333334,133.56266666666667,7.125,5.8125,0.021333333333330984
133.82933333333332,133.84533333333334,6.0,5.0625,0.016000000000019554
134.768,134.88,6.0,5.625,0.11199999999999477
153.38133333333334,153.40266666666668,6.1875,6.1875,0.021333333333330984
154.07466666666667,154.08,3.0,4.40625,0.005333333333339851
167.93066666666667,167.94666666666666,4.3125,4.59375,0.015999999999991132
169.312,169.536,3.09375,4.125,0.22399999999998954
169.64266666666666,169.89333333333335,4.5,6.375,0.2506666666666888
172.98133333333334,173.09333333333333,6.46875,7.125,0.11199999999999477
173.392,173.45066666666668,4.875,5.34375,0.05866666666668152
175.648,175.67466666666667,3.9375,4.03125,0.026666666666670835
175.78666666666666,175.83466666666666,4.5,4.875,0.04800000000000182
176.09066666666666,176.176,5.25,5.25,0.08533333333332394
178.352,178.608,7.6875,9.5625,0.2560000000000002
178.48533333333333,179.23733333333334,4.3125,5.34375,0.7520000000000095
179.64266666666666,179.696,5.34375,5.34375,0.05333333333334167
180.21866666666668,180.30933333333334,5.15625,5.25,0.09066666666666379
206.74133333333333,206.768,5.71875,5.53125,0.026666666666670835
216.21866666666668,216.31466666666665,5.25,5.34375,0.09599999999997522
226.31466666666665,226.48533333333333,5.0625,6.375,0.1706666666666763
226.384,226.53866666666667,3.09375,3.75,0.15466666666668516
227.536,227.72266666666667,6.09375,6.65625,0.18666666666666742
227.67466666666667,227.78133333333332,3.28125,3.65625,0.10666666666665492
227.94133333333335,227.984,4.125,4.40625,0.04266666666666197
228.08533333333332,228.37866666666667,5.15625,4.03125,0.29333333333335077
230.72533333333334,231.024,4.3125,4.6875,0.2986666666666622
232.82133333333334,232.832,4.03125,4.21875,0.010666666666651281
234.14933333333335,234.20266666666666,4.40625,5.15625,0.05333333333331325
236.45333333333335,237.056,4.125,4.875,0.6026666666666642
238.85333333333332,238.90133333333333,6.65625,6.9375,0.04800000000000182
240.864,240.96,6.65625,6.65625,0.09600000000000364
241.344,241.792,4.40625,4.125,0.4480000000000075
243.008,243.28533333333334,6.1875,7.125,0.2773333333333312
262.29333333333335,262.51733333333334,3.9375,4.40625,0.22399999999998954
263.8453333333333,263.9146666666667,5.53125,6.375,0.06933333333336122
275.408,275.6,5.71875,6.9375,0.19200000000000728
281.53066666666666,281.6053333333333,5.25,5.25,0.07466666666664423
281.82933333333335,281.856,5.34375,5.625,0.026666666666642413
282.0106666666667,282.17066666666665,6.375,7.21875,0.15999999999996817
282.41066666666666,282.4266666666667,4.59375,4.78125,0.016000000000019554
282.53333333333336,282.768,4.96875,5.15625,0.2346666666666124
294.19733333333335,294.2613333333333,5.90625,6.65625,0.06399999999996453
294.37333333333333,294.752,3.84375,4.125,0.3786666666666747
329.3706666666667,329.49333333333334,4.3125,4.40625,0.12266666666664605
329.89866666666666,329.92533333333336,4.875,4.875,0.026666666666699257
330.08,330.3093333333333,4.6875,4.6875,0.2293333333333294
331.39733333333334,331.75466666666665,3.375,3.46875,0.3573333333333153
336.87466666666666,336.896,5.8125,6.0,0.021333333333359406
339.376,339.584,5.25,5.25,0.20800000000002683
